patent_id,title,abstract,filing_date,year,tech_category
10000019,Installation assembly and associated method for forming a bonded joint,"An installation assembly and an associated method for forming a bonded join are provided to permit the adhesive attachment of a first workpiece, such as a patch, to a portion of a second workpiece. The installation assembly and the associated method provide for at least partial debulking of the adhesive prior to curing of the adhesive such that the resulting bondline may have improved mechanical properties as a result of having fewer voids and/or porosity. The installation assembly may include an installation stand and a carrier plate supported by the installation stand and including an attachment surface configured to carry the first workpiece. The installation stand also includes an adjustment mechanism for positioning a carrier plate to a first predefined position to define a gap between the first and second workpieces and also to a second predefined position such that a predetermined bondline thickness is defined between the first and second workpieces.",2018-06-19,2018,
10000020,Method and device for producing areas in a printed object having different coefficients of friction,"A three-dimensional object printer enables forming portions of an object with a material having a higher melting temperature and a lower coefficient of friction. The printer includes a member, a printhead, and an applicator. A controller operates the printhead to eject a first material having a first coefficient of friction toward the member and operates the applicator to eject a second material having a second coefficient of friction toward the member. The second material has a higher melting temperature and a lower coefficient of friction than the first material. The printer further includes a curing device. The controller operates the curing device to direct radiation toward the member to cure the first material. The second material is cured into the first material.",2018-06-19,2018,
10000021,Method for manufacturing three-dimensional shaped object and three-dimensional shaped object obtained by the same,"There is provided a method for manufacturing a three-dimensional shaped object. The method of the present invention comprises the repeated steps of: (i) forming a solidified layer by irradiating a predetermined portion of a powder layer with a light beam, thereby allowing a sintering of the powder in the predetermined portion or a melting and subsequent solidification thereof; and (ii) forming another solidified layer by newly forming a powder layer on the resulting solidified layer, followed by the irradiation of a predetermined portion of the powder layer with the light beam; wherein only the surface portion of the solidified layer, to which a force is applied when the three-dimensional shaped object is used, is subjected to a machining process.",2018-06-19,2018,
10000022,Method for processing PAEK and articles manufactured from the same,"A process for manufacturing a three-dimensional object from a powder by selective sintering the powder using electromagnetic radiation. The powder comprises recycled PAEK. In one embodiment, the powder comprises recycled PEKK. In one embodiment, the powder comprises first recycle PEKK and second recycle PEKK. In one embodiment, the powder consists essentially of recycled PEKK. The process may include the step of maintaining a bed of a selective laser sintering machine at approximately 300 degrees Celsius and applying a layer of the powder to the bed. The average in-plane tensile strength of the three-dimensional object is greater than that of a three-dimension object manufactured by selective sintering using a powder comprising an unused PEKK powder.",2018-06-19,2018,
10000023,Apparatus and method for forming three-dimensional objects using linear solidification,"An apparatus and method for making a three-dimensional object from a solidifiable material using a linear solidification device is shown and described. In certain examples, the linear solidification device includes a laser diode that projects light onto a scanning device, such as a rotating polygonal mirror or a linear scanning micromirror, which then deflects the light onto a photohardenable resin. As a result, the linear solidification device scans a line of solidification energy in a direction that is substantially orthogonal to the direction of travel of the laser diode. In other examples, the linear solidification device is a laser device array or light emitting diode array that extends in a direction substantially orthogonal to the direction of travel of the array.",2018-06-19,2018,
10000024,Apparatus and method for control of three-dimensional printing,"An apparatus for controlling 3D printing includes an output determiner configured to determine, after generating a first control command to output a 3D object, whether an additional 3D object is able to be output through an output task for the 3D object, and a control command generator configured to generate a second control command to output a not-yet-output part of the 3D object and the additional 3D object if it is determined that the additional 3D object is able to be output through the output task.",2018-06-19,2018,
10000025,Optimized cross-ply orientation in composite laminates,A composite laminate has a primary axis of loading and comprises a plurality resin plies each reinforced with unidirectional fibers. The laminate includes cross-plies with fiber orientations optimized to resist bending and torsional loads along the primary axis of loading.,2018-06-19,2018,
10000026,Composite induction consolidation apparatus and method,A composite induction consolidation apparatus includes a base mandrel and a ferromagnetic base mandrel facesheet having a specific Curie temperature carried by the base mandrel. The base mandrel facesheet is adapted to support a composite part and allow ambient air pressure to compact the composite part against the base mandrel facesheet. At least one magnetic induction coil is provided in the base mandrel.,2018-06-19,2018,
10000027,Apparatus and method for reshaping plastic preforms into plastic containers with an automatic changing device for handling parts,"A plant for reshaping plastic preforms into plastic containers, includes a heating device for heating the plastic preforms, and a device for reshaping the plastic preforms into the plastic containers, arranged downstream of the heating device in the transport direction of the plastic preforms, wherein the reshaping device includes a transport device, which transports the plastic preforms along a predefined transport path and wherein the transport device has a station carrier on which a multitude of reshaping stations are arranged, each having blow mold devices each arranged on blow mold carriers. The reshaping device includes a changing device, which is suited and intended for at least removing and/or attaching the blow mold devices to the blow mold carriers, wherein this changing device is further suited and intended for at least removing and/or attaching the changeable element to the heating device.",2018-06-19,2018,
10000028,Mechanical fastening nets and methods of making the same,"A method of making a mechanical fastening net. The method includes providing a net having strands of polymer and open areas between the strands of polymer and molding a portion of the polymer in the strands of the net into upstanding posts to form the mechanical fastening net. A mechanical fastening net that includes a polymeric backing, a plurality of openings in the polymeric backing, and upstanding posts on at least one of the first or second major surface of the polymeric backing is also disclosed. The polymeric backing has a range of thicknesses ranging from minimum to maximum thickness, and for at least a portion of the polymeric backing, the minimum thickness of the polymeric backing is where it abuts one of the openings.",2018-06-19,2018,
10000029,Transmission belt manufacturing method and transmission belt,"A method of manufacturing a power transmission belt includes: molding and vulcanizing an endless tension member layer in which a cord extending in a belt length direction is embedded; molding and vulcanizing a rubber member for a compressed rubber layer; and bonding together the tension member layer that has been vulcanized and the rubber member, that has been vulcanized, for the compressed rubber layer.",2018-06-19,2018,
10000030,Manufacturing method of pneumatic tire,A tire mold has a tire molding surface. The tire molding surface is pressed against an outer surface of an uncured tire. A vent hole is provided in the tire molding surface. A surface of an outer edge region surrounding an opening of the vent hole is formed by a smooth surface. The smooth surface is smoother than a surface in a peripheral region of the outer edge region.,2018-06-19,2018,
10000031,Method for contour shaping honeycomb structures,"A method of manufacturing a honeycomb structure includes providing a honeycomb body having a first contour extending between opposing first and second ends and chamfering a corner of the first end in a radial and axial direction toward the first contour to form a second contour. The method further includes removing material in an axial direction toward the second face to form a third contour, chamfering a corner of the third contour in a radial and axial direction toward the second end to form an end contour, and removing material in an axial direction toward the first face to form a fourth contour. Removing material to form the fourth contour substantially removes the second contour and the end contour.",2018-06-19,2018,
10000032,Method for operating a press with an underneath drive and press operated according thereto,"A method and a press are proposed for an energy-efficient drive of a press (1) with a bottom drive, in which a drive device (2) disposed in a bottom section (3), a plunger (1.1) executing a stroke (H) and receiving an upper tool part (1.2) with at least one acting tie rod (2.1.2) of a drive train (2.1) are provided and the upper tool part (2.1) corresponding to a bottom tool part (3.2) disposed in the bottom section (3) machines or forms a work piece (5). The drive device (2) is operated by at least one motor (2.1.1) and by way of a control and regulation device (4) connecting the motor (2.1.1) and the drive train (2.1). Each drive train (2.1) can be operated by its own motor (2.1.1). When using a drawing device with a holder (3.3.1), it is operated in the change and during at least a partial path of the respective stroke (H) by the drive train (2.1) while observing a shaft-type free space (3.2) provided in the bottom section (3) in a coupled or decoupled manner by a releasable rotatory or translational active connection.",2018-06-19,2018,
10000033,"Washable, waterproof, sealable and reusable storage bags","Disclosed are embodiments of a versatile storage bag and methods of making same. The versatile storage bag may have first and second sidewalls, a double-locking closure mechanism with a first closure element extending along the first sidewall and a second closure element extending along the second sidewall, each closure element having a channel and an elongated member configured for interlocking with one another. A double-seal along three sides of the first sidewall and the second sidewall form a gusset between two seals, leaving an opening through the double-locking closure mechanism. Corner seals may be formed at the corners of the first and second sidewalls, further reinforcing the double-locking closure mechanism for an airtight and hence waterproof seal. The versatile storage bag may be made of a food-grade polyethylene vinyl acetate blend, approximately 90% or less ethylene vinyl acetate and approximately 10% or less polyethylene.",2018-06-19,2018,
10000034,Envelope Making Plate,"The present patent application discloses an envelope making plate. The envelope making plate includes a plate body with a marking groove, a reference edge; and a scale line or an indication line corresponding to the type of the envelope. The plate body is divided into a working area and a non-working area by the reference edge. The envelope paper abuts against or aligns with the reference edge. One side of the envelope paper is the working area, and another side is the non-working area. The marking groove is set in the working area of the plate body and intersects with the reference edge or an extension line of the reference edge. The marking groove divides the reference edge or the extension line of the reference edge into an acute angle and an obtuse angle. The scale line or the indication line corresponding to the type of the envelope is set along the reference edge and on the side where the marking groove and the reference edge form the acute angle. A second indication line is set in the non-working area of the plate body and is perpendicular to the marking groove. An extension line or virtual extension line of the second indication line intersects with the marking groove within the working area of the plate body. It is easy to achieve a full utilization of the plate body's area when making the envelope by making the angle between the marking groove and the indication line being as an acute angle. It saves the materials of the plate body.",2018-06-19,2018,
10000035,"Lightweight, high flow hose assembly and method of manufacture","A hose assembly, preferably a garden hose assembly, including a jacketed tube that is lightweight, durable and versatile. The tube is able to expand longitudinally along the length-wise axis of the hose between hose ends, as well as radially or circumferentially, to an expanded state in response to application of at least a minimum fluid pressure to an inner tube of the hose. Once the fluid pressure falls below the minimum fluid pressure, the hose assembly will contract. The two layer construction of the hose assembly allows for storage in relatively compact spaces, similar flow rates, approximately one-half the weight, and improved maneuverability when compared to conventional hose constructions. In one embodiment the jacket is formed around the tube in a continuous process that welds a material, preferably using hot air, into the jacket. The welded joint forms a region of jacket that is preferably about twice the thickness of the rest of the jacket. This thicker region results in a stiffer section of jacket that makes the hose more controllable and consistent in use.",2018-06-19,2018,
10000036,High kinetic energy penetrator shielding and high wear resistance materials fabricated with boron nitride nanotubes (BNNTS) and BNNT polymer composites,"Boron nitride nanotubes (BNNTs), boron nitride nanoparticles (BNNPs), carbon nontubes (CNTs), graphites, or their combinations, are incorporated into matrices of polymer, ceramic or metals. Fibers, yarns, and woven or nonwoven mates of BNNTs are uses as toughening layers in penetration resistant materials to maximize energy absorption and/or high hardness layers to rebound or deform penetrators. They can be also uses as reinforcing inclusions combining with other polymer matrices to create composite layer like typical reinforcing fibers such as Kevlar®, Spectra®, ceramics and metals. Enhanced wear resistance and prolonged usage time, even under harsh conditions, are achieved by adding boron nitride nanomaterials because both hardness and toughness are increased. Such materials can be used in high temperature environments since the oxidation temperature of BNNTs exceeds 800° C. in air. Boron nitride based composite materials are useful as strong structural materials for anti-micrometeorite layers for spacecraft and space suits, ultra strong tethers, protective gear for the human body as well as for vehicles, helmets, shields and safety suits/helmets for industry.",2018-06-19,2018,
10000037,Transparent laminate and protective tool including the same,"The purpose of the present invention is to prevent an increase in reflectance and a decrease in transmittance, retain the intact instantaneousness and ease of stripping, improve the releasability of the adhesive, avoid the generation of distortion due to the thickness of the adhesive, and ensure the visibility, by laminating filmy members (10) each equipped with a moth-eye structure (12). This transparent laminate (1) comprises a plurality of filmy members (10) which each comprise a base (11) and, disposed on at least one surface thereof, a structure (12) made up of recesses and protrusions which have been regularly arranged at a pitch not longer than the wavelengths of visible light. At least the ends of the filmy members (10) have been superposed, with a pressure-sensitive adhesive layer (2) interposed therebetween. In the superposed filmy members (10), there is a space (14) between the opposed structures (12).",2018-06-19,2018,
10000038,Alloy plate coated material and method of producing alloy plate coated material,"Provided is an alloy plate coated material including a base material, and an alloy plate layer which is formed on the base material to constitute an outermost layer and is formed from a M1-M2-M3 alloy (provided that M1 is at least one element selected from Ni, Fe, Co, Cu, Zn and Sn; M2 is at least one element selected from Pd, Re, Pt, Rh, Ag and Ru; and M3 is at least one element selected from P and B), in which the alloy plate layer has a molar ratio of M1 to M2 (M1/M2) of 0.005 to 0.5.",2018-06-19,2018,
10000039,Multilayer interlayers having high Tg and high modulus,"A multilayer interlayer structure having a low Mw/high Tg layer and a high Mw layer, the interlayer having a high E′ modulus and a higher Tg. The high Tg layer has a Tg of at least 50° C. and a weight average molecular weight of not more than 160,000. The high Mw layer has a molecular weight greater than 160,000. The interlayer structure has increased stiffness without having to increase its thickness, and has an increased Tg to enable the structure to be used in applications that require good modulus at outdoor temperatures.",2018-06-19,2018,
10000040,"Floor panel, methods for manufacturing laminate panels and method for treating material sheets applied herewith","Floor panel of the type substantially consisting of a substrate and a top layer provided-thereon based on synthetic material. The top layer includes a printed decor and one or more material sheets provided with synthetic material. The floor panel also includes a balancing layer at the underside of the substrate, the balancing layer containing a synthetic material layer which is free from material sheets. Methods used to make the panels are disclosed.",2018-06-19,2018,
10000041,Method for making a decorative multilaminar veneer,"A method for making a decorative multilaminar veneer with accentuated curvilinear shapes consists of the steps of: obtaining sheets of wood from a log of wood or from a block of multilaminar wood; superimposing and permanently sticking the sheets of wood on top of one another to form a plurality of packets of sheets of wood; providing a plurality of male molds and at least one female countermold, wherein each male mold has a convex curvilinear profile with different curvature radiuses of one mold with respect to the other and wherein the female countermold has a concave curvilinear profile; arranging, pressing and permanently sticking together several packets, in sequence and superimposed, between the female countermold and in sequence the male molds to deform in a curvilinear manner the packets, replacing in sequence, upon the reaching of a preset height of the superimposed, joined and deformed packets a male mold with a profile with a greater curvature radius with a successive male mold with a profile with a lesser curvature radius; obtaining a sliceable block formed by said superimposing, joining and deforming of packets of the sheets of wood; slicing said block to obtain a decorative multilaminar veneer.",2018-06-19,2018,
10000042,Tearable polystyrene film laminate for packaging and pouch purposes,"The current disclosure relates to a polymeric laminate structure having an outer polystyrene film, either blown or cast, comprised of crystal polystyrene homopolymer, optionally blended with up to about 45 wt-% of high impact polystyrene and/or inorganic fillers.",2018-06-19,2018,
10000043,Multilayer film for resealable packaging having improved resealing,Multilayer film comprising two thin layers D and E of a thermoplastic material bonded to one another by a continuous layer A that is a hot-melt pressure-sensitive adhesive composition:      ,2018-06-19,2018,
10000044,"Panel for making furnishings such as doors, boards, tables, furniture or the like","Panel, particularly a panel used for making furnishings such as doors, boards, tables, furniture or the like, which panel on at least one face thereof has at least a three-dimensional structure and which panel is composed of a mechanically rigid base or supporting sheet and a coating sheet for giving the aesthetic appearance to said panel, said coating sheet being superposed on at least one face of the base sheet, wherein the compound of said coating sheet is composed of thermoplastic polymers mixed with a vegetable and/or mineral filler, which compound gives such flexibility properties to the coating sheet that said coating sheet can be wound on itself.",2018-06-19,2018,
10000045,"Multilayer tube for fuel transportation, fuel pump module provided with same, use of same, and use of fuel pump module","A multilayered tube for transporting fuel including an innermost layer (A), an outermost layer (B) and an intermediate layer (C), characterized by that: the innermost layer (A) and the outermost layer (B) include a resin composition including 40 mass % or more of semi-aromatic polyamide; a flexural modulus of a material constituting the intermediate layer (C) measured according to ISO 178 is 800 MPa or less; and it is used in an environment in which both the innermost layer (A) and the outermost layer (B) are contacted with biodiesel fuel. In addition, a fuel pump module including the multilayered tube for transporting fuel and a method for using them.",2018-06-19,2018,
10000046,Methods for creating thick laminate structures,"Methods of creating thick composite structures are provided. The methods may be applied to two or more prepreg structures of composite materials to form laminate structures that are thicker than approximately five (5) inches without excessive exothermic events resulting in inconsistent cure and high residual stresses. The method may include heating a first sheet to achieve a specified increase in resin viscosity. In response to achieving the specified resin viscosity, a second portion of composite material may be applied to the first portion. The assembly may be heated to create a laminate structure which is chemically bonded with no interface.",2018-06-19,2018,
10000047,Method for manufacturing curved liquid crystal display panel,"The present invention provides a method for manufacturing a curved liquid crystal display panel, which comprises coating a sealing gum on a first or a second frame sealing region; filing liquid crystals between the two substrates and adhering the two substrates together; performing a first curing on partial sealing gum on a first set or a third set of frame bodies; bending the first set and the third set of frame bodies obtained after the first curing along the extension direction of the first set of frame bodies; performing a second curing on uncured sealing gum on the two bended substrates.",2018-06-19,2018,
10000048,Taping tool having improved tape advance,"A taping apparatus includes an elongate body portion having a moveable control member for controlling the advancement of tape and a head portion connected to the elongate body portion for advancing the tape. The head portion includes a first stop, a second stop, a guide extending from the first stop to the second stop, and a tape advance mechanism moveable along the guide. The tape advance mechanism and the control member are coupled to one another such that the tape advance mechanism is moveable in response to movement of the control member. The tape advance mechanism includes a rotatable cam and a needle that rotates with the cam.",2018-06-19,2018,
10000049,Methods and apparatus for applying protective films,"An applicator die for creating and applying laminarized ribbons of polymeric film to a target surface, such as but not limited to a surface of an automobile body component. In one embodiment, the protective film is an aqueous emulsion of polyvinyl acetate and is used to create a continuous peelable film to protect a surface. In another embodiment, the polymeric is polyvinyl chloride and it is applied to create an anti-chip coating. The applicator die has an internal supply gallery and an outlet slot of complex shape to emit a laminarized ribbon of polymer-based material that allows the material to be applied directly to the target surface without masking. A robot is used to control movement of the die. The die includes temperature control.",2018-06-19,2018,
10000050,"Method for the manufacture of a fibre composite component, a reinforcement element and also a fibre composite component","A method for the manufacture of a fiber composite component with a base element, and with at least one ancillary element bonded to the base element. A reinforcement element is introduced in at least one bonding region of the base element or the ancillary element for purposes of developing a bonding surface for the ancillary element or the base element. A reinforcement element with fiber sections, the ends of which emanate from a bonding surface is provided. A fiber composite component is provided with a base element, in the bonding regions of which reinforcement elements are introduced, on the bonding surfaces of which ancillary elements are bonded with one such.",2018-06-19,2018,
10000051,System and method for removing three-dimensional printed parts from a platen using inductive heating and gravity,A method of manufacturing a three-dimensional object facilitates removal of the three-dimensional object from the platen on which the object was formed. The method includes rotating the platen from a horizontally level position to a position at an angle to the level position to enable gravity to urge the three-dimensional object away from the platen and inductively heating the platen to melt support material at the boundary of the object and the platen to release the three-dimensional object from the platen.,2018-06-19,2018,
10000052,Methods for rejuvenating an imaging member of an ink-based digital printing system,"Disclosed herein are methods for an ink-based digital printing system, comprising providing an imaging member a reimageable surface layer disposed on a structural mounting layer, the reimageable surface layer comprising a fluorosilicone elastomer and an infrared-absorbing filler comprising carbon black, and a plurality of surface defects on the reimageable surface layer, wherein the surface defects comprises carbon black exposed through the fluorosilicone elastomer of the reimageable surface layer. The method also comprises applying a coating of rejuvenating oil comprising an amino-functional organopolysiloxane to the reimageable surface layer, whereby at least a portion of the plurality of surface defects are coated by the amino-functional organopolysiloxane, thereby rejuvenating the imaging member.",2018-06-19,2018,
10000053,Web displacer for a printing unit,"A printing press is provided which includes a printing unit for printing on a web. The printing unit includes a plate cylinder, a blanket cylinder, and an impression cylinder. The press further includes a web displacement bar movable between a first position in which the web displacement bar is spaced apart from a web passing between the blanket cylinder and the impression cylinder, and a second position in which the web displacement bar holds the web in contact with the impression cylinder and spaced apart from the blanket cylinder. A method of operating the press is also provided.",2018-06-19,2018,
10000054,"Sheet-processing machine having a sheet-guiding drum, and method for producing a gripper system","A sheet-guiding drum in a sheet-processing machine, comprises a gripper system, a gripper shaft, and a gripper tube. A method for producing a gripper system is also disclosed. The sheet-guiding drum further improves the sheet transport process, in particular the turning process, in sheet-processing machines. The problem addressed by the invention is in particular the provision of a low-wear rolling-element bearing that preferably eliminates the aforementioned disadvantages and, in particular, meets all further boundary conditions. This problem is solved in that the gripper tube is assembled from tube segments.",2018-06-19,2018,
10000055,Method for operating a printing press,"A method of operating a sheet-fed printing press includes storing various print jobs and/or associated setting values and process steps in a memory device to set up the printing press upon a job change. A computer implements or suggests settings or process steps of the printing press for a print job based on the job data of a print job and/or as a result of inputs by the operator. Before or immediately after a print job is completed, the computer generates a query requesting inputs that determine if the same print job requires further passes and if so, which passes are required and, based on the information input therein, implements only those settings on the printing press and/or initiates or suggests only those process steps that are necessary for the subsequent pass of the sheets that have already been printed.",2018-06-19,2018,
10000056,Screen printing apparatus and paste kneading method,"A screen printing apparatus includes a pair of clampers that clamp a substrate, a mask plate contacted to the substrate, a pair of squeegees provided above the mask plate vertically, and a squeegee controller that selectively controls one of the pair of squeegees to move in the horizontal direction in abutment against the mask plate so that the selected one of the pair of squeegees slides on the mask plate.",2018-06-19,2018,
